epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.06921999901533127,4.069908142089844,0.1,0.060100000351667404,4.6973161697387695
1,0.13458000123500824,3.5969767570495605,0.1,0.0957999974489212,4.164831161499023
2,0.19393999874591827,3.259408473968506,0.1,0.2110999971628189,3.212804079055786
3,0.25429999828338623,2.948032855987549,0.1,0.24529999494552612,3.005324125289917
4,0.30243998765945435,2.698668956756592,0.1,0.195700004696846,3.5603461265563965
5,0.33899998664855957,2.509608745574951,0.1,0.3431999981403351,2.5449531078338623
6,0.37727999687194824,2.33797287940979,0.1,0.37459999322891235,2.371697187423706
7,0.40507999062538147,2.212533473968506,0.1,0.375900000333786,2.4492616653442383
8,0.4282200038433075,2.1054513454437256,0.1,0.34150001406669617,2.739835739135742
9,0.45103999972343445,2.0041468143463135,0.1,0.4180000126361847,2.265035629272461
10,0.4763999879360199,1.909665822982788,0.1,0.43459999561309814,2.1506197452545166
11,0.48750001192092896,1.8574391603469849,0.1,0.42309999465942383,2.2590935230255127
12,0.5027999877929688,1.784591555595398,0.1,0.462799996137619,2.0735924243927
13,0.521619975566864,1.718603253364563,0.1,0.5131999850273132,1.8282568454742432
14,0.5359200239181519,1.6584519147872925,0.1,0.4875999987125397,1.966887354850769
15,0.5456200242042542,1.612115502357483,0.1,0.47760000824928284,1.9561861753463745
16,0.5567399859428406,1.5689473152160645,0.1,0.4584999978542328,2.154770612716675
17,0.5609800219535828,1.546730637550354,0.1,0.46320000290870667,2.078045606613159
18,0.5758000016212463,1.4939936399459839,0.1,0.525600016117096,1.787857174873352
19,0.5884799957275391,1.4505037069320679,0.1,0.5300999879837036,1.8021240234375
20,0.5896199941635132,1.4269403219223022,0.1,0.5548999905586243,1.6264564990997314
21,0.6007599830627441,1.389230489730835,0.1,0.5365999937057495,1.7075483798980713
22,0.6083800196647644,1.3575007915496826,0.1,0.5199999809265137,1.8459417819976807
23,0.6165000200271606,1.324123740196228,0.1,0.5428000092506409,1.6760300397872925
24,0.6249799728393555,1.294487714767456,0.1,0.5461000204086304,1.7117265462875366
25,0.6315400004386902,1.2731914520263672,0.1,0.5389000177383423,1.855610728263855
26,0.63646000623703,1.2560824155807495,0.1,0.5626000165939331,1.657384991645813
27,0.6382399797439575,1.2357772588729858,0.1,0.531000018119812,1.8601746559143066
28,0.644819974899292,1.2196991443634033,0.1,0.5843999981880188,1.5240066051483154
29,0.6493800282478333,1.1970487833023071,0.1,0.5928999781608582,1.5104225873947144
30,0.6584799885749817,1.1692792177200317,0.1,0.5950000286102295,1.561242938041687
31,0.6632400155067444,1.145674467086792,0.1,0.576200008392334,1.6175000667572021
32,0.6678000092506409,1.127292513847351,0.1,0.5242999792098999,1.9387372732162476
33,0.6726800203323364,1.1116126775741577,0.1,0.5978999733924866,1.4721993207931519
34,0.6756200194358826,1.0970418453216553,0.1,0.6182000041007996,1.420785903930664
35,0.6761800050735474,1.092427372932434,0.1,0.593500018119812,1.5268189907073975
36,0.6856200098991394,1.058355689048767,0.1,0.5993000268936157,1.4841843843460083
37,0.6860799789428711,1.0562591552734375,0.1,0.6123999953269958,1.4564952850341797
38,0.6920199990272522,1.035404920578003,0.1,0.6050999760627747,1.5510026216506958
39,0.6911200284957886,1.0297131538391113,0.1,0.6269999742507935,1.371347188949585
40,0.6987400054931641,1.0116599798202515,0.1,0.6234999895095825,1.4316822290420532
41,0.7043799757957458,0.9880532622337341,0.1,0.5853999853134155,1.7045631408691406
42,0.7083799839019775,0.9705530405044556,0.1,0.6222000122070312,1.4420262575149536
43,0.7081599831581116,0.9734464287757874,0.1,0.6194000244140625,1.4457992315292358
44,0.7109799981117249,0.9615668654441833,0.1,0.6281999945640564,1.3999946117401123
45,0.7166200280189514,0.9405412673950195,0.1,0.6431999802589417,1.3067084550857544
46,0.7143399715423584,0.9458980560302734,0.1,0.6183000206947327,1.4633309841156006
47,0.7210400104522705,0.9276166558265686,0.1,0.6166999936103821,1.4926702976226807
48,0.7258800268173218,0.9139629006385803,0.1,0.6317999958992004,1.3783111572265625
49,0.72816002368927,0.8963831067085266,0.1,0.6342999935150146,1.3618195056915283
50,0.7315199971199036,0.8837021589279175,0.1,0.6367999911308289,1.425490140914917
51,0.733680009841919,0.8786072731018066,0.1,0.654699981212616,1.3148229122161865
52,0.7351999878883362,0.8695213198661804,0.1,0.6152999997138977,1.539285659790039
53,0.7392399907112122,0.8608065843582153,0.1,0.6597999930381775,1.2695503234863281
54,0.7423400282859802,0.8509937524795532,0.1,0.6381999850273132,1.401457667350769
55,0.741919994354248,0.8503850698471069,0.1,0.6370999813079834,1.400068759918213
56,0.746399998664856,0.8269666433334351,0.1,0.6442999839782715,1.3848752975463867
57,0.7494999766349792,0.8203384876251221,0.1,0.6417999863624573,1.3715869188308716
58,0.7502800226211548,0.8158405423164368,0.1,0.6176000237464905,1.50397789478302
