epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.08832000195980072,3.9581785202026367,0.1,0.07850000262260437,4.478268146514893
1,0.18585999310016632,3.3136203289031982,0.1,0.16140000522136688,3.861567497253418
2,0.2867400050163269,2.761439323425293,0.1,0.23389999568462372,3.1899709701538086
3,0.3713800013065338,2.3608014583587646,0.1,0.337799996137619,2.5624077320098877
4,0.4295800030231476,2.0911223888397217,0.1,0.396699994802475,2.3804688453674316
5,0.4762600064277649,1.8852837085723877,0.1,0.41290000081062317,2.273172378540039
6,0.5161799788475037,1.7265092134475708,0.1,0.4323999881744385,2.2373363971710205
7,0.5471799969673157,1.6036070585250854,0.1,0.44510000944137573,2.3423781394958496
8,0.569920003414154,1.5061362981796265,0.1,0.4661000072956085,2.065391778945923
9,0.5942400097846985,1.4148050546646118,0.1,0.5108000040054321,1.8176829814910889
10,0.6139400005340576,1.334714412689209,0.1,0.49729999899864197,2.075287342071533
11,0.6299399733543396,1.2666547298431396,0.1,0.46810001134872437,2.236052989959717
12,0.6469799876213074,1.205133318901062,0.1,0.5285999774932861,1.8197062015533447
13,0.6614000201225281,1.1437220573425293,0.1,0.5254999995231628,1.8860371112823486
14,0.6732800006866455,1.0901679992675781,0.1,0.5407000184059143,1.8478893041610718
15,0.6870599985122681,1.0496199131011963,0.1,0.5311999917030334,1.905945062637329
16,0.7006800174713135,0.99979567527771,0.1,0.593999981880188,1.515356183052063
17,0.7143200039863586,0.9522079825401306,0.1,0.5590000152587891,1.7270110845565796
18,0.7217599749565125,0.9101430177688599,0.1,0.5407999753952026,1.9265387058258057
19,0.7329599857330322,0.8711709976196289,0.1,0.5813999772071838,1.68510103225708
20,0.7455800175666809,0.8354954123497009,0.1,0.5364000201225281,2.0019922256469727
21,0.7515199780464172,0.8047460913658142,0.1,0.5752999782562256,1.7950711250305176
22,0.7601400017738342,0.7757974863052368,0.1,0.5769000053405762,1.8067152500152588
23,0.7709599733352661,0.7421042323112488,0.1,0.5812000036239624,1.8769840002059937
24,0.7787200212478638,0.7151990532875061,0.1,0.5723000168800354,1.8208097219467163
25,0.7841399908065796,0.6860635876655579,0.1,0.5763000249862671,1.921154499053955
26,0.7949600219726562,0.654753565788269,0.1,0.5934000015258789,1.8325706720352173
27,0.8019800186157227,0.631892204284668,0.1,0.5600000023841858,2.0651626586914062
28,0.8071200251579285,0.6038627624511719,0.1,0.60589998960495,1.7193303108215332
